Geneid	Uniprot_annotation	Interproscan_annotation	GO_term	KEGG_annotation
LDECv5g14671	Tyrosine-protein phosphatase Lar; Drosophila melanogaster	igc2_5|Immunoglobulin subtype 2|Ig-like domain profile.|Immunoglobulin-like domain|Immunoglobulins|Immunoglobulin-like fold|Immunoglobulin|Immunoglobulin-like domain superfamily|IG_3c|Immunoglobulin domain subtype|Immunoglobulin I-set domain|Immunoglobulin I-set|receptor-type tyrosine-protein phosphatase delta isoform X2	GO:0098609, GO:0005575	NA
LDECv5g14672	Oxaloacetate tautomerase FAHD2B, mitochondrial; Bos taurus	Fumarylacetoacetate (FAA) hydrolase C-terminal|Fumarylacetoacetase-like, C-terminal|FAH|Fumarylacetoacetase-like, C-terminal domain superfamily|Fumarylacetoacetase-like, C-terminal domain superfamily	GO:0003824	NA
LDECv5g14673	Oxaloacetate tautomerase Fahd2a, mitochondrial; Mus musculus	NA	NA	NA
LDECv5g14674	NA	NA	GO:0050789, GO:0048519	NA
LDECv5g14675	WD repeat and FYVE domain-containing protein 3; Homo sapiens	fyve_4|FYVE zinc finger|FYVE zinc finger|Zinc/RING finger domain, C3HC4 (zinc finger)|Zinc finger, RING/FYVE/PHD-type|Zinc finger FYVE/FYVE-related type profile.|Zinc finger, FYVE-related|FYVE/PHD zinc finger|Zinc finger, FYVE/PHD-type	GO:0046872, GO:0005488, GO:0065007, GO:0008150, GO:0043169, GO:0009987, GO:0005575, GO:0043231, GO:0043229, GO:0043167, GO:0043227, GO:0005634, GO:0050789, GO:0010468, GO:0008289, GO:0046914, GO:0031932, GO:0043226, GO:0008270, GO:0009986	NA
LDECv5g14676	Facilitated trehalose transporter Tret1; Culex quinquefasciatus	Major facilitator superfamily (MFS) profile.|Major facilitator superfamily domain|MFS general substrate transporter like domains|MFS transporter superfamily|Sugar (and other) transporter|Major facilitator, sugar transporter-like|Facilitated trehalose transporter Tret1-2 homolog|MFS general substrate transporter|MFS transporter superfamily|Sugar transport proteins signature 1.|Sugar transporter, conserved site	GO:0022857, GO:0016020, GO:0055085, GO:0022853, GO:0022804, GO:0008150, GO:0005575, GO:0051234, GO:0003674, GO:0015291, GO:0015293, GO:0006810, GO:0005215, GO:0051179, GO:0015294, GO:0008324, GO:0015075, GO:0005886, GO:0015078, GO:0005402	NA
LDECv5g14677	CDGSH iron-sulfur domain-containing protein 2 homolog; Drosophila grimshawi	Iron-containing outer mitochondrial membrane protein N-terminus|Iron sulphur domain-containing, mitoNEET, N-terminal|znf_cdgsh|Iron-binding zinc finger, CDGSH type|CDGSH iron-sulfur domain-containing protein 1|Iron-binding zinc finger CDGSH type|Iron-binding zinc finger, CDGSH type|MitoNEET, CDGSH iron-sulfur domain	GO:0043231, GO:0051537, GO:0005741, GO:0010506, GO:0005488, GO:0043169, GO:0005575, GO:0005789, GO:0043167, GO:0051536, GO:0016020, GO:0051540, GO:0046872, GO:0003674, GO:0031090	K23882
LDECv5g14678	Homeobox protein aristaless; Drosophila melanogaster	Aristaless related homeobox|HOX_1|Homeodomain|'Homeobox' domain signature.|Homeobox, conserved site|'Homeobox' domain profile.|Homeodomain|OAR motif|OAR domain|Homeodomain-like|Homedomain-like superfamily|homeodomain|Homeodomain|Homeodomain|OAR domain profile.|OAR domain|Lambda-repressor HTH signature|Helix-turn-helix motif	GO:0003677, GO:0000981, GO:0006355, GO:0000977, GO:0006357, GO:0048856, GO:0048513, GO:0005488, GO:0065007, GO:0008150, GO:0005575, GO:0032502, GO:1901363, GO:0043231, GO:0043229, GO:0043227, GO:0003674, GO:0032501, GO:0007517, GO:0003676, GO:0005634, GO:0043226, GO:0048518, GO:0008284, GO:0050789, GO:0050794, GO:0050793, GO:0010468, GO:0010556, GO:0060255, GO:0019222, GO:0051239, GO:0043565, GO:0006366, GO:0000978, GO:0009889, GO:0008283, GO:0048522, GO:0005515, GO:0019219, GO:0140110, GO:0019904, GO:0003002, GO:0007275, GO:0042127, GO:0061061, GO:0000987, GO:0080090, GO:0051252, GO:2001141, GO:0003700, GO:0010605, GO:0048646, GO:0045596, GO:0007389, GO:0003006	K09452
LDECv5g14679	Actin nucleation-promoting factor WAS; Homo sapiens	WH1_2|WH1/EVH1 domain|CRIB domain profile.|CRIB domain|WH1 domain|WH1/EVH1 domain|wh2_8|WH2 domain|WH2 motif|WH2 domain|PH-like domain superfamily|WH1 domain profile.|WH1/EVH1 domain|EVH1_WASP-like|WASP family, EVH1 domain|PH domain-like|Wiscott-Aldrich syndrome protein, WASP, C-terminal domain|Actin nucleation-promoting factor WAS, C-terminal|WH2 domain profile.|WH2 domain|P21-Rho-binding domain|CRIB domain|neural Wiskott-Aldrich syndrome protein|CRIB|Neural Wiskott-Aldrich syndrome protein-like|CRIB domain|CRIB domain superfamily|PBD_5|CRIB domain	GO:0003779, GO:0007015, GO:0000147, GO:0008154, GO:0009653, GO:0005488, GO:0065007, GO:0008150, GO:0022607, GO:0016043, GO:0071840, GO:0051641, GO:0009987, GO:0005575, GO:0008092, GO:0043229, GO:0051179, GO:0043227, GO:0048519, GO:0043226, GO:2000601, GO:0048518, GO:0048522, GO:0010638, GO:0005515, GO:0051258, GO:0032991, GO:0044877, GO:0034315, GO:0032956, GO:0030832, GO:0110053, GO:0030833, GO:0032970, GO:0051125, GO:0008064, GO:0090066, GO:0050789, GO:0051128, GO:0032535, GO:0050794, GO:0051493, GO:0033043, GO:0032271, GO:1902903, GO:0097435, GO:0016192, GO:0030041, GO:0003674, GO:0030838, GO:0051099, GO:0051666, GO:0044396, GO:0048523, GO:0032273, GO:0009891, GO:0051015, GO:0051127, GO:1902905, GO:0009889, GO:0051234, GO:0032879, GO:0048583, GO:0022402, GO:0045296, GO:0051649, GO:0043388, GO:0005829, GO:0043231, GO:0051495, GO:0005634, GO:0006897, GO:0099080, GO:0030050	K23612
LDECv5g14680	GTPase-activating protein skywalker; Drosophila melanogaster	TLDc domain|TLDc domain profile.|TLDc domain|109ultra|TLDc domain|Rab-GTPase-TBC domain|Rab-GAP-TBC domain|tbc_4|Rab-GAP-TBC domain	GO:0008150, GO:0003674, GO:0005575, GO:0005488, GO:0065007, GO:0050789	K21841
LDECv5g14681	6-phosphogluconate dehydrogenase, decarboxylating; Drosophila melanogaster	6-phosphogluconate dehydrogenase signature|6-phosphogluconate dehydrogenase|6-phosphogluconate dehydrogenase signature.|6-phosphogluconate-binding site|NAD binding domain of 6-phosphogluconate dehydrogenase|6-phosphogluconate dehydrogenase, NADP-binding|6-phosphogluconate dehydrogenase C-terminal domain-like|6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily|6PGD_2|6-phosphogluconate dehydrogenase, C-terminal|6-phosphogluconate dehydrogenase, decarboxylating|NADP-dependent phosphogluconate dehydrogenase|6-phosphogluconate dehydrogenase, domain 2|6PGD|6-phosphogluconate dehydrogenase, decarboxylating|NAD(P)-binding Rossmann-fold domains|NAD(P)-binding domain superfamily|6-phosphogluconate dehydrogenase, C-terminal domain|6-phosphogluconate dehydrogenase, C-terminal|decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase|6-phosphogluconate dehydrogenase, decarboxylating	GO:0004616, GO:0006098, GO:0050661, GO:0019521, GO:0006739, GO:0006740, GO:0005488, GO:0008150, GO:1901135, GO:0005975, GO:0019752, GO:0003824, GO:0009987, GO:0006091, GO:0051156, GO:0008152, GO:0003674, GO:0032787, GO:1901265, GO:0000166, GO:0006082, GO:0019637, GO:0016491, GO:0016614, GO:0016616, GO:0043436, GO:0006796, GO:0006793, GO:0044238, GO:0036094, GO:0044281, GO:1901363, GO:0009051, GO:0005575	K00033
LDECv5g14682	NA	Chitin-binding type R&R domain profile.|Insect cuticle protein|Insect cuticle protein	GO:0008010, GO:0062129, GO:0008150, GO:0009987, GO:0005575, GO:0043227	NA
LDECv5g14683	Cytoplasmic aconitate hydratase; Homo sapiens	Aconitase iron-sulfur domain|Aconitase, iron-sulfur domain|Aconitase family signature 1.|Aconitase family, 4Fe-4S cluster binding site|Aconitate hydratase|Aconitase, domain 3|Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3|Aconitase family (aconitate hydratase)|Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain|Aconitase, domain 4|Aconitase/3-isopropylmalate dehydratase, swivel|LeuD/IlvD-like|aconitate hydratase AcnA|AcnA_IRP_Swivel|Aconitase A, swivel domain|cytoplasmic aconitate hydratase|aconitate hydratase AcnA|Aconitase/Iron-responsive element-binding protein 2|AcnA_IRP|Aconitase family signature 2.|Aconitase family, 4Fe-4S cluster binding site|Aconitase family signature|Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain|Aconitase C-terminal domain|Aconitase A/isopropylmalate dehydratase small subunit, swivel domain	GO:0051539, GO:0003723, GO:0003994, GO:0048513, GO:0016999, GO:0005488, GO:0065007, GO:0008150, GO:0016835, GO:0019752, GO:0003824, GO:0043169, GO:0055082, GO:0019725, GO:0009987, GO:0005575, GO:0048878, GO:0006101, GO:0005829, GO:0032502, GO:1901363, GO:0042592, GO:0016836, GO:0043167, GO:0051536, GO:0016829, GO:0008152, GO:0051540, GO:0046872, GO:0003674, GO:0032787, GO:0006082, GO:0043436, GO:0044238, GO:0044281, GO:0006099, GO:0048732, GO:0030350, GO:0001889, GO:0003676, GO:0048856, GO:0019222, GO:0030003, GO:0065008, GO:0043226, GO:0072350, GO:0055080, GO:0006873, GO:0006629, GO:0030324, GO:0010038, GO:0098771, GO:0051538, GO:0010039, GO:0005739, GO:0006879, GO:0043229, GO:0042221, GO:0009791, GO:0010468	K01681
LDECv5g14684	NA	Insect cuticle protein signature|Insect cuticle protein|Insect cuticle protein|Chitin-binding type R&R domain profile.|Insect cuticle protein	GO:0008010, GO:0062129, GO:0003674, GO:0008150, GO:0005576, GO:0030163, GO:0048518, GO:0042302, GO:0005575	NA
LDECv5g14685	Sialin; Homo sapiens	MFS general substrate transporter|MFS transporter superfamily|MFS general substrate transporter like domains|MFS transporter superfamily|Major Facilitator Superfamily|Major facilitator superfamily|Solute carrier family 17 member 3	GO:0006820, GO:0016020, GO:0022857, GO:0055085, GO:0065007, GO:0008150, GO:0005575, GO:0051234, GO:0051179, GO:0003674, GO:0006810, GO:0005215, GO:0006811, GO:0002682, GO:0022804, GO:0071705, GO:0050789, GO:0065008	K08193
LDECv5g14686	Transcription factor Dp-1; Bos taurus	Winged helix-like DNA-binding domain superfamily|E2F_TDP_2|E2F/DP family, winged-helix DNA-binding domain|DP_DD|Transcription factor DP, C-terminal|E2F/DP family winged-helix DNA-binding domain|E2F/DP family, winged-helix DNA-binding domain|Transcription factor DP|Transcription factor DP, C-terminal domain superfamily|"Winged helix" DNA-binding domain|Winged helix DNA-binding domain superfamily|Transcription factor DP|Transcription factor DP, C-terminal|E2F-DP heterodimerization region|DP_2|Transcription factor DP, C-terminal|Transcription factor	GO:0005667, GO:0006355, GO:0000977, GO:0000981, GO:0005634, GO:0006357, GO:0051726, GO:0003677, GO:0005488, GO:0065007, GO:0008150, GO:0005575, GO:0043231, GO:0043229, GO:0043227, GO:0003674, GO:0048519, GO:0048523, GO:0003676, GO:0043226, GO:2001141, GO:0050789, GO:0009889, GO:0050794, GO:0010556, GO:0140110, GO:0060255, GO:1901363, GO:0019219, GO:0003700, GO:0009987, GO:0019222, GO:0048518, GO:0010468, GO:0070317, GO:0051252, GO:0003682	K04683
LDECv5g14687	Pre-rRNA-processing protein esf2; Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Nucleotide-binding alpha-beta plait domain superfamily|RNA-binding domain, RBD|RNA-binding domain superfamily|RRM_ABT1_like|ABT1/ESF2, RNA recognition motif|Pre-rRNA-processing protein ESF2 C-terminal domain|Pre-rRNA-processing protein ESF2-like coiled-coil region|RNA recognition motif|RNA recognition motif domain	GO:0003676, GO:0000447, GO:0000472, GO:0000480, GO:0003723, GO:0005730, GO:0034462, GO:0008150, GO:0009987, GO:0005575, GO:0043170, GO:0008152, GO:0003674, GO:1990904, GO:0044391, GO:0009059, GO:0032991, GO:1901363, GO:0044238, GO:0009058, GO:0016070, GO:0015934, GO:0006518, GO:0022618, GO:0005488	K14785
LDECv5g14688	Sodium/potassium-transporting ATPase subunit beta-1; Drosophila melanogaster	sodium/potassium-transporting ATPase subunit beta-2|Sodium / potassium ATPase beta chain|Sodium/potassium-transporting ATPase subunit beta|Sodium/potassium-transporting ATPase subunit beta superfamily	GO:0001671, GO:0005890, GO:0006813, GO:0006814, GO:0006883, GO:0030007, GO:0036376, GO:1990573, GO:0098533, GO:0005488, GO:0065007, GO:0008150, GO:0055080, GO:0006812, GO:0090533, GO:0009987, GO:0005575, GO:0048878, GO:0051234, GO:0042592, GO:0098659, GO:0098771, GO:0099587, GO:0050801, GO:0015075, GO:0006811, GO:0051179, GO:0098796, GO:0030001, GO:0003674, GO:0098797, GO:0015079, GO:0032991, GO:0050789, GO:0065008, GO:0002682, GO:0034765, GO:0043269, GO:0034762, GO:0022898, GO:0051049, GO:0022857, GO:1902495, GO:0006810, GO:0005215, GO:1990351, GO:0030003, GO:0071805, GO:1904062, GO:0008324, GO:0006873, GO:0005515, GO:0098739, GO:0055075, GO:0035725, GO:0055082, GO:0046873, GO:0019725, GO:0043167, GO:0036211, GO:0098590, GO:0043270, GO:0008152, GO:0140115, GO:0043412, GO:0034220, GO:0032411, GO:0032414	K01540
LDECv5g14689	Transmembrane protein 245; Bos taurus	AI-2E family transporter|Transmembrane protein TqsA-like	GO:0008150, GO:0005575, GO:0003674, GO:0022857, GO:0005215, GO:0016020, GO:0043167, GO:0031090, GO:0009987, GO:0015075	K28779
LDECv5g14690	Methionine aminopeptidase 1; Xenopus tropicalis	Methionine aminopeptidase [map].|Peptidase M24A, methionine aminopeptidase, subfamily 1|Creatinase/methionine aminopeptidase superfamily|Creatinase/aminopeptidase-like|Methionine aminopeptidase-1 signature|Peptidase M24, methionine aminopeptidase|MetAP1|Peptidase M24A, methionine aminopeptidase, subfamily 1|Methionine aminopeptidase subfamily 1 signature.|Peptidase M24A, methionine aminopeptidase, subfamily 1|Zinc finger C6H2-type profile.|MYND-like zinc finger|Methionine aminopeptidase|methionine aminopeptidase, type I|Peptidase M24A, methionine aminopeptidase, subfamily 1|Creatinase/aminopeptidase|Creatinase/aminopeptidase-like|zf-MYND-like zinc finger, mRNA-binding|MYND-like zinc finger|Metallopeptidase family M24|Peptidase M24	GO:0006508, GO:0070006, GO:0005829, GO:0005488, GO:0008150, GO:0003824, GO:0140096, GO:0043169, GO:0009987, GO:0005575, GO:0005737, GO:0008238, GO:0016787, GO:0043167, GO:0043170, GO:0043412, GO:0008152, GO:0046872, GO:0008235, GO:0008237, GO:0003674, GO:0008233, GO:0044238, GO:0019538, GO:0036211, GO:0043226, GO:0043229, GO:0004177	K01265
LDECv5g14691	Remodeling and spacing factor 1; Homo sapiens	PHD-finger|Zinc finger, PHD-finger|PHD_RSF1|PHD_3|Zinc finger, PHD-type|Zinc finger PHD-type signature.|Zinc finger, PHD-type, conserved site|FYVE/PHD zinc finger|Zinc finger, FYVE/PHD-type|Zinc finger PHD-type profile.|Zinc finger, PHD-finger	GO:0006355, GO:0031213, GO:0042393, GO:0045892, GO:0005488, GO:0065007, GO:0008150, GO:0003824, GO:0016043, GO:0071840, GO:0009987, GO:0005575, GO:0006325, GO:0032502, GO:0019899, GO:1901363, GO:0043231, GO:0043229, GO:0043170, GO:0043227, GO:0008152, GO:0003674, GO:0048519, GO:0048523, GO:0003676, GO:0005634, GO:0043226, GO:0048518, GO:0048522, GO:0010604, GO:0009893, GO:0044238, GO:0005515, GO:0050789, GO:0051726, GO:0010564, GO:0051128, GO:0050794, GO:0060255, GO:0019222, GO:0080090, GO:0050896, GO:0043167, GO:0043412, GO:0019219, GO:0006950, GO:0005654, GO:0043169, GO:0046872, GO:0010468, GO:0010948, GO:0070087, GO:0016604, GO:0051252, GO:0050793, GO:0033043, GO:0045786, GO:0000785, GO:2000026, GO:0000792, GO:0007165, GO:0051130, GO:0033044, GO:0006304, GO:0036211, GO:0051239, GO:0003677, GO:0045787	NA
LDECv5g14692	Uncharacterized protein F13E6.1; Caenorhabditis elegans	Tumour protein D52 family|Tumour protein D52	GO:0005737, GO:0009987, GO:0046982, GO:0005634, GO:0051082	NA
LDECv5g14693	Lysosome-associated membrane glycoprotein 1; Gallus gallus	Lysosome-associated membrane glycoprotein family profile.|Lysosome-associated membrane glycoprotein|TM_EGFR-like|Lysosome-associated membrane glycoprotein signature|Lysosome-associated membrane glycoprotein|Lysosome-associated membrane glycoprotein 2-like, luminal domains|Lysosome-associated membrane glycoprotein 2, transmembrane segment|Lysosome-associated membrane glycoprotein 2-like, transmembrane domain	GO:0016020, GO:0005765, GO:0005886, GO:0031902, GO:0072594, GO:0098588, GO:0005575, GO:0031090, GO:0005773, GO:0008150, GO:0005774, GO:0097708	K06528
LDECv5g14694	COP9 signalosome complex subunit 9; Xenopus tropicalis	Myeloma-overexpressed-like|COP9 signalosome complex, subunit 9, metazoa	GO:0008150, GO:0000785, GO:0005737, GO:0043231, GO:0008284, GO:0048522, GO:0042127, GO:0050794, GO:0005575, GO:0043227, GO:0009987, GO:0008180, GO:0050789, GO:0071478, GO:0065007, GO:0005654	K28062
LDECv5g14695	Striatin-interacting protein 1; Bos taurus	N1221_2|Far11/STRP, N-terminal|N1221-like protein|Far11/STRP, N-terminal|Domain of unknown function (DUF3402)|Far11/STRP, C-terminal|ARM repeat|Armadillo-type fold|DUF3402_2|Far11/STRP, C-terminal	GO:0005829, GO:0007010, GO:0008150, GO:0016043, GO:0071840, GO:0009987, GO:0005575, GO:0022414, GO:0030427, GO:0043332, GO:0050794, GO:0022607, GO:0005488, GO:0065007, GO:0016020, GO:0051321, GO:0050789, GO:0022603, GO:0005886	K27960
LDECv5g14696	Chitin deacetylase 1; Bombyx mori	Chitin binding domain|Chitin-binding type-2 domain profile.|Chitin binding domain|Glycoside hydrolase/deacetylase|Glycoside hydrolase/deacetylase, beta/alpha-barrel|Glycoside hydrolase/deacetylase|CLUMA_CG003232, isoform B|LDLa|Low-density lipoprotein (LDL) receptor class A repeat|Low-density lipoprotein receptor domain class A|Low-density lipoprotein (LDL) receptor class A repeat|Invertebrate chitin-binding proteins|Chitin binding domain superfamily|LDL receptor-like superfamily|CE4_CDA_like_1|Polysaccharide deacetylase|NodB homology domain|LDL-receptor class A (LDLRA) domain signature.|Low-density lipoprotein (LDL) receptor class A, conserved site|chi_10|Chitin binding domain|LDL-receptor class A (LDLRA) domain profile.|Low-density lipoprotein (LDL) receptor class A repeat|Chitin binding Peritrophin-A domain|Chitin binding domain|LDL receptor-like module|LDL receptor-like superfamily|LDLa_2|Low-density lipoprotein (LDL) receptor class A repeat	GO:0005576, GO:0008061, GO:0005975, GO:0005515, GO:0016810, GO:0065007, GO:0008150, GO:0005575, GO:0003674, GO:0048518, GO:0048522, GO:0048584, GO:0050789, GO:0050794, GO:0051239, GO:0048583, GO:0009987, GO:0008152, GO:0009986, GO:0050896	NA
LDECv5g14697	Chitin deacetylase 1; Bombyx mori	Glycoside hydrolase/deacetylase|Glycoside hydrolase/deacetylase, beta/alpha-barrel|LDLa_2|Low-density lipoprotein (LDL) receptor class A repeat|CLUMA_CG003232, isoform B|Invertebrate chitin-binding proteins|Chitin binding domain superfamily|LDL-receptor class A (LDLRA) domain signature.|Low-density lipoprotein (LDL) receptor class A, conserved site|chi_10|Chitin binding domain|Chitin binding domain|LDL receptor-like superfamily|LDLa|Low-density lipoprotein (LDL) receptor class A repeat|Chitin binding Peritrophin-A domain|Chitin binding domain|Low-density lipoprotein receptor domain class A|Low-density lipoprotein (LDL) receptor class A repeat|LDL-receptor class A (LDLRA) domain profile.|Low-density lipoprotein (LDL) receptor class A repeat|CE4_CDA_like_1|Glycoside hydrolase/deacetylase|Chitin-binding type-2 domain profile.|Chitin binding domain|LDL receptor-like module|LDL receptor-like superfamily	GO:0005975, GO:0005515, GO:0008061, GO:0005576, GO:0008150, GO:0005509, GO:0005575, GO:0003674, GO:0065007	NA
LDECv5g14698	Carbonic anhydrase 2; Pseudaspius hakonensis	Eukaryotic-type carbonic anhydrase|Alpha carbonic anhydrase domain|Alpha carbonic anhydrase|Alpha carbonic anhydrase domain superfamily|Carb_anhydrase_2a|Alpha carbonic anhydrase domain|Alpha-carbonic anhydrases profile.|Alpha carbonic anhydrase domain|Carbonic anhydrase|Alpha carbonic anhydrase domain superfamily|alpha_CA	GO:0004089, GO:0005737, GO:0008270, GO:0005488, GO:0003824, GO:0043169, GO:0043167, GO:0046872, GO:0003674, GO:0046914, GO:0008237, GO:0008150	K01672
LDECv5g14699	Sodium/potassium-transporting ATPase subunit beta-2; Drosophila melanogaster	sodium/potassium-transporting ATPase subunit beta-2|Sodium / potassium ATPase beta chain|Sodium/potassium-transporting ATPase subunit beta|Sodium/potassium-transporting ATPase subunit beta superfamily|Sodium and potassium ATPases beta subunits signature 1.|Sodium/potassium-transporting ATPase subunit beta	GO:0005890, GO:0006813, GO:0006814, GO:0001671, GO:0006883, GO:0030007, GO:0036376, GO:1990573, GO:0008150, GO:0006812, GO:0005575, GO:0048878, GO:0051234, GO:0006811, GO:0030001, GO:0065007, GO:0009987, GO:0051179, GO:0003674, GO:0032991, GO:0050801, GO:0006810, GO:0042592, GO:1902495, GO:0098796, GO:0055080, GO:0098771, GO:0090533, GO:1990351, GO:0098533, GO:0010248, GO:0035725, GO:0055078	K01540
LDECv5g14700	NA	Homeodomain-like|Homedomain-like superfamily	GO:0008150, GO:0009987, GO:0003674, GO:0008152, GO:0003676, GO:0005575, GO:0003677, GO:0071840, GO:0042254, GO:0005488, GO:0043170, GO:1901363	NA
LDECv5g14701	Sodium/potassium-transporting ATPase subunit beta-2; Drosophila melanogaster	Sodium and potassium ATPases beta subunits signature 1.|Sodium/potassium-transporting ATPase subunit beta|Sodium/potassium-transporting ATPase subunit beta superfamily|Sodium / potassium ATPase beta chain|Sodium/potassium-transporting ATPase subunit beta|sodium/potassium-transporting ATPase subunit beta-2	GO:0005890, GO:0006813, GO:0006814, GO:0001671, GO:0006883, GO:0030007, GO:0036376, GO:1990573, GO:0098533, GO:0060590, GO:0005488, GO:0065007, GO:0008150, GO:0055080, GO:0006812, GO:0090533, GO:0030003, GO:0055082, GO:0019725, GO:0006873, GO:0005575, GO:0048878, GO:0008047, GO:0051234, GO:0140115, GO:0042592, GO:0098771, GO:0050801, GO:0034220, GO:0006811, GO:0051179, GO:0098796, GO:0030001, GO:0098772, GO:0003674, GO:0060589, GO:0098797, GO:0055075, GO:0005515, GO:0032991, GO:0065008, GO:0043269, GO:0034762, GO:1902495, GO:0006810, GO:1990351, GO:0030234, GO:0098739, GO:0016020, GO:0009987, GO:0035725, GO:0055085, GO:0099587, GO:0051049, GO:0032879, GO:0098659, GO:0055078, GO:0034765, GO:0005886, GO:0022898, GO:0036094, GO:0031647, GO:0006820, GO:0098655, GO:1904062, GO:0050821, GO:0050789, GO:0071805, GO:0044093	K01540
LDECv5g14702	Relaxin receptor 2; Mus musculus	7tmA_Relaxin_R|7 transmembrane receptor (rhodopsin family)|G protein-coupled receptor, rhodopsin-like|Relaxin receptor family signature|Relaxin receptor|L domain-like|LDL-receptor class A (LDLRA) domain profile.|Low-density lipoprotein (LDL) receptor class A repeat|LDL-receptor class A (LDLRA) domain signature.|Low-density lipoprotein (LDL) receptor class A, conserved site|Leucine rich repeat|Leucine-rich repeat|Relaxin family peptide receptor 1|Leucine-rich repeat profile.|Leucine-rich repeat|Ribonuclease Inhibitor|Leucine-rich repeat domain superfamily|LRR_sd22_2|G-protein coupled receptors family 1 profile.|GPCR, rhodopsin-like, 7TM|LDLa|Low-density lipoprotein (LDL) receptor class A repeat|BspA type Leucine rich repeat region (6 copies)|BspA-type LRR region|LRR_typ_2|Leucine-rich repeat, typical subtype|LDL receptor-like module|LDL receptor-like superfamily|Family A G protein-coupled receptor-like|LDL receptor-like superfamily|Low-density lipoprotein receptor domain class A|Low-density lipoprotein (LDL) receptor class A repeat|G-protein coupled receptors family 1 signature.|G protein-coupled receptor, rhodopsin-like|LDLa_2|Low-density lipoprotein (LDL) receptor class A repeat|GH01279p|Rhodopsin-like GPCR superfamily signature|G protein-coupled receptor, rhodopsin-like	GO:0004930, GO:0007186, GO:0016020, GO:0007165, GO:0005515, GO:0005886, GO:0007189, GO:0007190, GO:0008528, GO:0009755, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0060089, GO:0003674, GO:0050789, GO:0050794, GO:0038023, GO:0004888, GO:0071840, GO:0035556, GO:0016043, GO:0022414	NA
LDECv5g14703	DNA mismatch repair protein Msh2; Chlorocebus aethiops	MutS domain II|DNA mismatch repair protein MutS, connector domain|P-loop containing nucleoside triphosphate hydrolase|DNA repair protein MutS, domain I|DNA mismatch repair protein MutS, N-terminal|DNA mismatch repair proteins mutS family signature.|DNA mismatch repair protein MutS, C-terminal|MutS protein homolog 4|MutS, connector domain|MutS, connector domain superfamily|DNA mismatch repair protein|DNA repair protein MutS, domain III|DNA mismatch repair protein MutS, core domain superfamily|MutS domain I|DNA mismatch repair protein MutS-like, N-terminal|MutS family domain IV|DNA mismatch repair protein MutS, clamp|P-loop containing nucleoside triphosphate hydrolases|P-loop containing nucleoside triphosphate hydrolase|mutATP5|DNA mismatch repair protein MutS, C-terminal|MutS domain V|DNA mismatch repair protein MutS, C-terminal|MutS domain III|DNA mismatch repair protein MutS, core|DNA repair protein MutS, domain II|MutS, connector domain superfamily|DNAend|DNA mismatch repair protein MutS, core	GO:0005524, GO:0006298, GO:0030983, GO:0003690, GO:0005634, GO:0006312, GO:0032301, GO:0140664, GO:0016887, GO:0003677, GO:0006259, GO:0006281, GO:1990391, GO:0008094, GO:0030554, GO:0032559, GO:0043168, GO:0005488, GO:0065007, GO:0008150, GO:0097367, GO:0003824, GO:0009987, GO:0006974, GO:0051716, GO:0033554, GO:0005575, GO:0003684, GO:1901363, GO:0016787, GO:0016817, GO:0016818, GO:0043167, GO:0043170, GO:0008152, GO:0032300, GO:0003674, GO:0048523, GO:0003676, GO:0090304, GO:0006139, GO:1901265, GO:0017111, GO:0000166, GO:0006996, GO:0044238, GO:0017076, GO:0035639, GO:0032555, GO:0016462, GO:0000018, GO:0050789, GO:0050794, GO:0050896, GO:0006950, GO:0032553, GO:0036094, GO:0051276, GO:0048519, GO:0022402, GO:0019222, GO:0043570, GO:0051052, GO:0045910, GO:0043231, GO:0043226, GO:0016043, GO:0022414, GO:0080090, GO:0071840, GO:0043227, GO:0019219, GO:0051726, GO:0009892, GO:0035556	K08735
LDECv5g14704	NA	NA	GO:0065007, GO:0008150, GO:0005575, GO:0005737, GO:0016020, GO:0003674, GO:0019222, GO:0000781, GO:0050789, GO:0010468, GO:0019219, GO:0060255, GO:0080090, GO:0071840, GO:0050794, GO:0010556, GO:0016043, GO:0009889, GO:0042995, GO:0048518, GO:0060090, GO:0051252, GO:0003723, GO:0043226, GO:0048519	NA
LDECv5g14705	NA	NA	NA	NA
